conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,followers,following,verified_status
1.92692E+18,Mon May 26 08:47:44 +0000 2025,7,PAYDAY SALE! Diskon hingga 11% untuk pembelian paket data min. 56.5Ribu di Alfamidi. Berlaku 25 Mei 5 Juni 2025. Info selengkapnya: 888. S&amp;K berlaku. #smartfren #100PersenUntukIndonesia https://t.co/KUKe7GcUis,1.92692E+18,https://pbs.twimg.com/media/Gr3ObISX0AArbXm.jpg,,in,,0,0,0,https://x.com/undefined/status/1926923192515354888,64924675,@smartfrenworld,670255,420,1
1.9265E+18,Sun May 25 04:53:46 +0000 2025,11,PAYDAY SALE! Diskon hingga 11% untuk pembelian paket data min. 50 Ribu di Alfamart. Berlaku 25 31 Mei 2025. Info selengkapnya: 888. S&amp;K berlaku. #smartfren #100PersenUntukIndonesia https://t.co/Hr2ncJMWWM,1.9265E+18,https://pbs.twimg.com/media/GrxPSKWW4AAetex.jpg,,in,,0,0,1,https://x.com/undefined/status/1926501924100067550,64924675,@smartfrenworld,670255,420,1
1.92542E+18,Thu May 22 05:22:02 +0000 2025,5,Gopay Flash Sale! Cashback 12rb Gopay Coins cukup beli paket data minimal 100ribu di mySF. S&amp;K berlaku. Yuk beli sekarang Landing Page : https://t.co/KSwnekJEVg #smartfren #100PersenUntukIndonesia https://t.co/UEJ0W8YOVQ,1.92542E+18,https://pbs.twimg.com/media/Grh4-_VboAAZj3n.jpg,,in,,0,1,0,https://x.com/undefined/status/1925421874257043955,64924675,@smartfrenworld,670255,420,1
1.92474E+18,Tue May 20 08:15:23 +0000 2025,8,Shopeepay Flash Sale! Cashback 12rb Koin Shopee cukup beli paket data minimal 100ribu di mySF. S&amp;K berlaku. Yuk beli sekarang Landing Page : https://t.co/KSwnekJEVg #smartfren #100PersenUntukIndonesia https://t.co/sT4CVSYnp9,1.92474E+18,https://pbs.twimg.com/media/GrYNfImaoAAuVv9.jpg,,in,,0,0,3,https://x.com/undefined/status/1924740725314617434,64924675,@smartfrenworld,670255,420,1
1.91785E+18,Thu May 01 08:04:11 +0000 2025,9,PAYDAY SALE! Diskon hingga 11% untuk pembelian paket data min. 56.5Ribu di Alfamidi. Berlaku 25 Apr 5 Mei 2025. Info selengkapnya: 888. S&amp;K berlaku. #smartfren #100PersenUntukIndonesia https://t.co/tzUdeRnS5k,1.91785E+18,https://pbs.twimg.com/media/Gp2UtygaYAATvfQ.jpg,,in,,0,6,1,https://x.com/undefined/status/1917852539103633800,64924675,@smartfrenworld,670255,420,1
1.91714E+18,Tue Apr 29 09:02:26 +0000 2025,14,Kuota Sebanyak Itu Harganya Cuma Segini?! Hanya di bulan April kamu bisa dapetin kuota besar dengan harga spesial. Cek Harga Spesialnya di https://t.co/bx57DaNvpI (cek di tab Flash Sale) atau ketik _888_777# #smartfren #100PersenUntukIndonesia https://t.co/YEcaPAOEAk,1.91714E+18,https://pbs.twimg.com/media/GpsO3h2a4AAGsE8.jpg,,in,,0,19,0,https://x.com/undefined/status/1917142420409712865,64924675,@smartfrenworld,670255,420,1
1.91706E+18,Tue Apr 29 03:50:04 +0000 2025,10,PAYDAY SALE! Diskon hingga 11% untuk pembelian paket data min. 50 Ribu di Alfamart. Berlaku 24 30 April 2025. Info selengkapnya: 888. S&amp;K berlaku. #smartfren #100PersenUntukIndonesia https://t.co/QYKUxNIHMY,1.91706E+18,https://pbs.twimg.com/media/GprHX35bEAIpPrt.jpg,,in,,0,10,0,https://x.com/undefined/status/1917063812982968453,64924675,@smartfrenworld,670255,420,1
1.91636E+18,Sun Apr 27 05:05:18 +0000 2025,5,PAYDAY SALE! Diskon hingga 11% untuk pembelian paket data min. 56.5Ribu di Alfamidi. Berlaku 25 Apr 5 Mei 2025. Info selengkapnya: 888. S&amp;K berlaku #smartfren #100PersenUntukIndonesia https://t.co/WbfNBwhyP7,1.91636E+18,https://pbs.twimg.com/media/GphFaXEbEAE5C52.jpg,,in,,0,3,3,https://x.com/undefined/status/1916357968175697938,64924675,@smartfrenworld,670255,420,1
1.91569E+18,Fri Apr 25 08:55:28 +0000 2025,3,PAYDAY SALE! Diskon hingga 11% untuk pembelian paket data min. 50 Ribu di Alfamart. Berlaku 24 30 April 2025. Info selengkapnya: 888. S&amp;K berlaku. #smartfren #100PersenUntukIndonesia https://t.co/2Ht0jxtAkg,1.91569E+18,https://pbs.twimg.com/media/GpXm6WFbsAA2Xfh.jpg,,in,,0,3,0,https://x.com/undefined/status/1915691117112430638,64924675,@smartfrenworld,670255,420,1
1.91524E+18,Thu Apr 24 02:45:06 +0000 2025,22,FLASH SALE! Cashback 12ribu Gopay Coins untuk pembelian paket data minimal 100ribu di mySF bayar pakai Gopay Landing Page : https://t.co/KSwnekJEVg #smartfren #100PersenUntukIndonesia https://t.co/XnO1lwqJq7,1.91524E+18,https://pbs.twimg.com/media/GpRIibEagAABINm.jpg,,in,,0,11,5,https://x.com/undefined/status/1915235523666600217,64924675,@smartfrenworld,670255,420,1
